group,sp,id,Mtag,tran,dist,trt,side,tag,loc,status,date_processed,initials,ic,iw,vs,is,ih,bh,vw,notes_trait
A,cal,4,107,T1,1,NR,L,1482,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,1,NR,L,1482,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,1,C,R,1481,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,1,C,R,1481,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,1,C,R,1481,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,1,C,R,1481,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,2,NR,L,1484,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,2,NR,L,1484,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,2,NR,L,1484,loc3,1,20190612,PMH,1,6.44,21,26,16.3,NA,9.64,
A,cal,4,107,T1,2,NR,L,1484,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,2,C,R,1483,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,2,C,R,1483,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,2,C,R,1483,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,2,C,R,1483,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,0.5,C,L,1485,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,0.5,C,L,1485,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,0.5,C,L,1485,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,0.5,C,L,1485,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,0.5,NR,R,1486,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,0.5,NR,R,1486,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,0.5,NR,R,1486,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,0.5,NR,R,1486,loc4,1,20190702,PMH,3,27.03,143,39,16.2,"5.9, 4.4",27.72,
A,cal,4,107,T2,1,NR,L,1487,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,1,NR,L,1487,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,1,NR,L,1487,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,1,NR,L,1487,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,1,C,R,1488,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,1,C,R,1488,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,1,C,R,1488,loc3,1,20190510,MFO,0,0,0,0,6.8,NA,0.52,
A,cal,4,107,T2,1,C,R,1488,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,2,C,L,1490,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,2,C,L,1490,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,2,C,L,1490,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
